query_id,comparison_set_id,query_text,consumer_type,weight_price,weight_quality,weight_aesthetics,welfare_optimal_product_id,highest_fee_product_id,has_conflict_for_query,max_welfare,runner_up_welfare,welfare_gap
Q9318443110,S00001,"I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but still has solid performance and doesn't look too clunky. I want something reliable that I can use regularly without worrying about batteries, and ideally in a color or design that doesn't look totally basic.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.6882,0.62,0.0682
Qef49b7ac81,S00001,"I need a really reliable USB-rechargeable headlamp for camping that will last through multiple trips without letting me down. Quality and durability are most important to me - I want something that's built to last and performs well in tough conditions, even if it costs a bit more.",quality_focused,0.2,0.7,0.1,S00001-P03,S00001-P02,True,0.5395,0.4249,0.1146
Q13c7e827a2,S00002,"I'm looking for wireless earbuds with active noise cancellation that won't break the bank but still have good sound quality and look decent. Under $150 would be ideal, and I want something that balances durability, performance, and style without being too expensive.",balanced,0.34,0.33,0.33,S00002-P06,S00002-P05,True,0.7063,0.6401,0.0662
Qca24f87119,S00002,I'm looking for wireless earbuds with active noise cancellation that won't break the bank but I really don't want to compromise on sound quality and durability. What's the best option under $150?,quality_focused,0.2,0.7,0.1,S00002-P03,S00002-P05,True,0.7381,0.7111,0.027
Q7e90735a61,S00003,"I'm looking for a 3-quart stainless steel saucepan with a lid that's well-made and looks good in my kitchen without breaking the bank. I want something that'll last, but I also don't want to overspend, and it needs to look nice on the stovetop since I have open shelving.",balanced,0.34,0.33,0.33,S00003-P01,S00003-P04,True,0.7413,0.6439,0.0974
Q89e82ab4e1,S00003,"I need a 3-quart stainless steel saucepan with a lid that won't break the bank. I'd like something that's durable and won't wear out quickly, but I'm mainly looking for the best value for the money.",price_sensitive,0.6,0.3,0.1,S00003-P01,S00003-P04,True,0.8158,0.67,0.1458
Qd4fd2911a3,S00004,"I'm looking for wireless earbuds with active noise cancellation that won't break the bank - ideally under $150. I want something that sounds good and looks sleek, but I also need them to be durable and actually work well without costing a fortune. What would you recommend?",balanced,0.34,0.33,0.33,S00004-P01,S00004-P04,True,0.7258,0.6726,0.0532
Q48ff5f2eb5,S00004,"I'm looking for wireless earbuds with active noise cancellation that look really sleek and stylish, ideally under $150. I want something that looks premium and matches my aesthetic, but I also need them to actually work well and not break the bank.",aesthetics_focused,0.2,0.2,0.6,S00004-P02,S00004-P04,True,0.7664,0.7046,0.0618
Q2cb99ce94f,S00005,I'm looking for a mechanical keyboard that won't break the bank but still feels solid and looks good on my desk—something under $150 that balances all three. What would you recommend?,balanced,0.34,0.33,0.33,S00005-P02,S00005-P02,False,0.6102,0.5988,0.0115
Q8a53fa99ba,S00005,"I need a reliable mechanical keyboard for typing that won't break the bank under $150. Build quality is really important to me since I use it all day for work, so I want something that will last and feel great to type on.",quality_focused,0.2,0.7,0.1,S00005-P03,S00005-P02,True,0.6931,0.6464,0.0467
Q4f3441380b,S00006,"I'm looking for a waterproof Bluetooth speaker that I can take camping and to the beach. I want something that sounds good and looks nice, but I don't want to spend too much money since I'm not sure how often I'll use it.",balanced,0.34,0.33,0.33,S00006-P01,S00006-P01,False,0.7736,0.6825,0.0911
Q48967479a3,S00006,"I'm looking for a stylish waterproof Bluetooth speaker for outdoor trips that doesn't look clunky. I want something that looks good sitting on a patio table or by the pool, but it still needs to be reliable and not break the bank.",aesthetics_focused,0.2,0.2,0.6,S00006-P03,S00006-P01,True,0.632,0.6128,0.0192
Q17b4d39a5b,S00007,"I'm looking for a good 5-quart enameled cast iron Dutch oven that won't break the bank but still has solid quality and looks nice on my stovetop. I want something that'll last and look great while cooking, but I'm trying not to spend too much.",balanced,0.34,0.33,0.33,S00007-P02,S00007-P02,False,0.8097,0.6041,0.2056
Q13f02f429e,S00007,"I'm looking for a good 5-quart enameled cast iron Dutch oven but I'm on a tight budget. I want something that won't fall apart after a few uses, but I'm willing to compromise on fancy colors or designs if it saves me money.",price_sensitive,0.6,0.3,0.1,S00007-P02,S00007-P02,False,0.7735,0.7191,0.0544
Q9c0bf90bcd,S00008,"I'm looking for a 2-person backpacking tent that's lightweight (under 4 lbs) and won't break the bank, but I also want something that's well-made and actually looks nice on the trail. What would you recommend?",balanced,0.34,0.33,0.33,S00008-P04,S00008-P01,True,0.7451,0.6792,0.0659
Q52ccd32d2d,S00008,Looking for a 2-person lightweight backpacking tent that's under 4 lbs - I'm on a tight budget so I need something affordable but still decent quality. What's the best option that won't break the bank?,price_sensitive,0.6,0.3,0.1,S00008-P04,S00008-P01,True,0.8177,0.7502,0.0675
